City,Zip_Code,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label
Los_Angeles,90061,Female,No,No,Yes,15,Yes,No,Fiber_optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit_card_(automatic),99.1,1426.4,Yes
Los_Angeles,90063,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit_card_(automatic),80.65,633.3,Yes
Los_Angeles,90065,Male,Yes,No,Yes,18,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,95.45,1752.55,Yes
Beverly_Hills,90211,Female,No,No,Yes,9,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic_check,94.4,857.25,Yes
Huntington_Park,90255,Female,No,No,Yes,1,Yes,No,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,79.35,79.35,Yes
Lynwood,90262,Female,No,Yes,Yes,7,Yes,No,Fiber_optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),75.15,496.9,Yes
Marina_Del_Rey,90292,Female,No,No,Yes,12,Yes,Yes,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic_check,78.95,927.35,Yes
Inglewood,90301,Male,No,No,No,5,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed_check,21.05,113.85,Yes
Inglewood,90303,Female,Yes,Yes,Yes,25,Yes,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,98.5,2514.5,Yes
Santa_Monica,90403,Male,No,Yes,No,68,Yes,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Two_year,Yes,Bank_transfer_(automatic),110,7611.85,Yes
Torrance,90504,Male,No,Yes,Yes,55,Yes,Yes,Fiber_optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic_check,96.75,5238.9,Yes
Whittier,90602,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,76.5,2868.15,Yes
Whittier,90606,Female,No,Yes,Yes,10,Yes,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,100.25,1064.65,Yes
La_Habra,90631,Male,No,No,Yes,3,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,74.4,229.55,Yes
Pico_Rivera,90660,Female,Yes,No,Yes,27,Yes,Yes,Fiber_optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic_check,78.05,2135.5,Yes
Avalon,90704,Female,No,Yes,No,25,No,No_phone_service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit_card_(automatic),58.6,1502.65,Yes
Harbor_City,90710,Male,No,No,No,1,No,No_phone_service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic_check,35.45,35.45,Yes
Lakewood,90712,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic_check,44.35,81.25,Yes
Los_Alamitos,90720,Female,Yes,Yes,Yes,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed_check,70.45,70.45,Yes
San_Pedro,90731,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic_check,71.15,563.65,Yes
Carson,90745,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,45.65,45.65,Yes
Long_Beach,90804,Male,No,No,Yes,7,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed_check,95,655.5,Yes
Altadena,91001,Female,No,Yes,Yes,20,Yes,Yes,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic_check,82.4,1592.35,Yes
Monrovia,91016,Female,No,No,Yes,4,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),70.9,273,Yes
Sierra_Madre,91024,Male,Yes,Yes,No,58,No,No_phone_service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic_check,45.3,2651.2,Yes
Tujunga,91042,Female,No,Yes,Yes,2,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,104.4,242.8,Yes
Pasadena,91103,Female,No,Yes,No,53,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,One_year,Yes,Bank_transfer_(automatic),94.85,5000.2,Yes
Pasadena,91106,Female,Yes,No,Yes,15,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed_check,74.45,1145.7,Yes
Pasadena,91107,Female,Yes,No,Yes,7,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,No,Bank_transfer_(automatic),76.45,503.6,Yes
Glendale,91202,Female,No,No,No,1,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank_transfer_(automatic),29.95,29.95,Yes
Glendale,91204,Male,No,No,Yes,8,Yes,Yes,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,No,Bank_transfer_(automatic),84.5,662.65,Yes
Glendale,91206,Female,No,No,Yes,13,Yes,No,Fiber_optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic_check,79.25,1111.65,Yes
Glendale,91207,Female,No,Yes,No,1,No,No_phone_service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,24.8,24.8,Yes
Canoga_Park,91304,Male,No,Yes,Yes,6,Yes,No,Fiber_optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic_check,91,531,Yes
Mission_Hills,91345,Male,No,No,Yes,1,Yes,No,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic_check,79.9,79.9,Yes
Santa_Clarita,91350,Female,No,No,Yes,19,Yes,No,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,106.6,1934.45,Yes
Sun_Valley,91352,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit_card_(automatic),46,84.5,Yes
Stevenson_Ranch,91381,Female,No,No,Yes,4,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,70.15,268.35,Yes
Panorama_City,91402,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed_check,50.05,179.35,Yes
Van_Nuys,91411,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed_check,55.2,55.2,Yes
Burbank,91504,Male,No,No,Yes,1,Yes,No,Fiber_optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed_check,84.6,84.6,Yes
North_Hollywood,91601,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed_check,54.4,114.1,Yes
North_Hollywood,91605,Female,Yes,No,Yes,11,Yes,No,Fiber_optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,95,1120.3,Yes
Covina,91722,Male,Yes,No,No,15,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,74.4,1074.3,Yes
Covina,91723,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed_check,48.55,48.55,Yes
El_Monte,91731,Female,No,Yes,No,2,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Electronic_check,70.4,147.15,Yes
El_Monte,91732,Male,Yes,Yes,No,1,No,No_phone_service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic_check,40.2,40.2,Yes
La_Puente,91744,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit_card_(automatic),44.6,80.55,Yes
La_Puente,91746,Male,Yes,No,No,3,No,No_phone_service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic_check,41.15,132.2,Yes
Rowland_Heights,91748,Male,Yes,No,No,13,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,106.9,1364.3,Yes
Ontario,91762,Male,No,No,No,59,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two_year,No,Mailed_check,19.35,1099.6,Yes
Ontario,91764,Female,Yes,No,No,16,Yes,No,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,94.45,1511.2,Yes
Pomona,91766,Male,No,No,No,1,No,No_phone_service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank_transfer_(automatic),24.8,24.8,Yes
Pomona,91768,Male,No,No,No,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Mailed_check,70.6,70.6,Yes
Rosemead,91770,Male,No,Yes,No,5,Yes,Yes,Fiber_optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic_check,85.4,401.1,Yes
San_Dimas,91773,Female,No,Yes,No,52,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,105.05,5624.85,Yes
West_Covina,91791,Male,No,Yes,No,18,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed_check,95.15,1779.95,Yes
Alhambra,91803,Male,No,Yes,No,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Electronic_check,70,70,Yes
Alpine,91901,Male,Yes,No,No,8,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,74.5,606.55,Yes
Bonita,91902,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit_card_(automatic),44.85,435.4,Yes
Boulevard,91905,Male,Yes,No,No,24,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,76.1,1712.7,Yes
Guatay,91931,Female,No,No,No,1,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed_check,73.6,73.6,Yes
Jacumba,91934,Female,Yes,No,No,4,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,95.45,396.1,Yes
Mount_Laguna,91948,Male,Yes,Yes,No,32,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,74.9,2303.35,Yes
Borrego_Springs,92004,Male,No,No,No,5,Yes,No,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,80.6,415.55,Yes
Carlsbad,92009,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One_year,No,Credit_card_(automatic),80.3,3058.65,Yes
Del_Mar,92014,Male,Yes,Yes,No,24,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,93.15,2231.05,Yes
El_Cajon,92020,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One_year,No,Bank_transfer_(automatic),82.45,4350.1,Yes
Escondido,92029,Female,Yes,No,No,2,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,70.35,139.05,Yes
Oceanside,92057,Female,No,No,No,7,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,73.85,511.25,Yes
Pala,92059,Female,No,No,No,2,Yes,Yes,Fiber_optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed_check,80.6,155.8,Yes
Palomar_Mountain,92060,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One_year,Yes,Bank_transfer_(automatic),75.8,5293.95,Yes
Pauma_Valley,92061,Female,No,No,No,43,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Two_year,Yes,Electronic_check,104.6,4759.85,Yes
Ranchita,92066,Male,No,Yes,No,63,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,103.4,6603,Yes
Valley_Center,92082,Female,No,No,No,2,Yes,No,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,90.4,168.2,Yes
San_Diego,92103,Male,No,Yes,No,4,Yes,Yes,Fiber_optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),84.8,371.9,Yes
San_Diego,92104,Female,Yes,No,No,21,No,No_phone_service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,41.9,840.1,Yes
San_Diego,92105,Female,No,No,No,10,Yes,No,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank_transfer_(automatic),80.25,846,Yes
San_Diego,92108,Male,Yes,Yes,No,27,No,No_phone_service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit_card_(automatic),30.75,805.1,Yes
San_Diego,92116,Male,No,No,No,5,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank_transfer_(automatic),96.5,492.55,Yes
San_Diego,92122,Male,No,No,No,2,Yes,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,85.65,181.5,Yes
San_Diego,92129,Female,No,Yes,No,25,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank_transfer_(automatic),104.95,2566.5,Yes
San_Diego,92154,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed_check,50.65,50.65,Yes
Indio,92201,Male,No,No,No,1,Yes,Yes,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit_card_(automatic),90.85,90.85,Yes
Indian_Wells,92210,Male,Yes,Yes,No,11,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed_check,19.95,214.75,Yes
Palm_Desert,92211,Female,Yes,Yes,No,55,Yes,Yes,Fiber_optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic_check,85.45,4874.7,Yes
Desert_Hot_Springs,92240,Female,No,No,No,34,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit_card_(automatic),73.95,2524.45,Yes
Holtville,92250,Male,No,Yes,No,69,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit_card_(automatic),99.45,7007.6,Yes
Niland,92257,Female,No,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,Yes,Mailed_check,19.9,19.9,Yes
North_Palm_Springs,92258,Male,No,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,Yes,Mailed_check,19.6,19.6,Yes
Ocotillo,92259,Male,Yes,No,No,3,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,81.35,233.7,Yes
Seeley,92273,Female,No,Yes,No,22,Yes,No,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic_check,83.3,1845.9,Yes
Thermal,92274,Female,Yes,No,No,1,Yes,No,Fiber_optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),75.3,75.3,Yes
Adelanto,92301,Female,No,Yes,No,61,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,Yes,Mailed_check,19.4,1182.55,Yes
Apple_Valley,92307,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),45.4,518.9,Yes
Crestline,92325,Female,No,No,No,60,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,105.9,6396.45,Yes
Daggett,92327,Female,No,No,No,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Mailed_check,69.55,69.55,Yes
Ludlow,92338,Female,No,Yes,No,28,Yes,No,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic_check,81.05,2227.1,Yes
Lucerne_Valley,92356,Male,No,Yes,No,4,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic_check,101.15,385.9,Yes
Lytle_Creek,92358,Male,No,No,No,7,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,99.8,673.25,Yes
Phelan,92371,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic_check,55.95,734.35,Yes
Redlands,92373,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic_check,55,55,Yes
Rialto,92377,Female,No,Yes,No,1,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,74.7,74.7,Yes
Running_Springs,92382,Male,No,No,No,24,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,80.25,1861.5,Yes
Tecopa,92389,Male,No,No,No,5,Yes,No,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,96.1,453.4,Yes
Victorville,92392,Female,No,No,No,15,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Bank_transfer_(automatic),69,994.8,Yes
Wrightwood,92397,Female,No,Yes,No,48,No,No_phone_service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank_transfer_(automatic),45.3,2145,Yes
San_Bernardino,92401,Female,No,Yes,No,8,Yes,No,Fiber_optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic_check,83.55,680.05,Yes
San_Bernardino,92410,Male,No,No,No,1,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,74.35,74.35,Yes
Riverside,92503,Female,No,Yes,No,2,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic_check,74.4,139.4,Yes
Riverside,92506,Male,No,No,No,22,No,No_phone_service,DSL,No,Yes,Yes,No,No,Yes,One_year,Yes,Bank_transfer_(automatic),43.75,903.6,Yes
Riverside,92509,Female,Yes,No,No,5,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic_check,28.45,131.05,Yes
March_Air_Reserve_Base,92518,Female,No,No,No,12,Yes,Yes,Fiber_optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank_transfer_(automatic),99.7,1238.45,Yes
Hemet,92544,Female,Yes,No,No,20,Yes,Yes,Fiber_optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic_check,94.1,1782.4,Yes
Homeland,92548,Male,No,Yes,No,2,Yes,No,Fiber_optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,94.2,167.5,Yes
Idyllwild,92549,Female,No,Yes,No,6,Yes,Yes,Fiber_optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic_check,80.5,502.85,Yes
Moreno_Valley,92557,Female,Yes,Yes,No,5,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,74.35,334.8,Yes
Murrieta,92563,Male,No,No,No,40,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank_transfer_(automatic),104.8,4131.95,Yes
Perris,92571,Female,Yes,Yes,No,27,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),75.2,1929.35,Yes
Sun_City,92586,Female,No,No,No,23,Yes,Yes,Fiber_optic,No,No,No,No,No,No,Month-to-month,No,Bank_transfer_(automatic),75.6,1758.6,Yes
Sun_City,92587,Male,No,Yes,No,34,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,100.05,3480,Yes
Irvine,92612,Female,No,No,No,1,Yes,Yes,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic_check,85,85,Yes
Lake_Forest,92630,Male,No,No,No,10,Yes,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank_transfer_(automatic),86.05,834.1,Yes
Huntington_Beach,92646,Male,No,No,No,13,No,No_phone_service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit_card_(automatic),45.55,597,Yes
Huntington_Beach,92648,Male,No,Yes,No,39,Yes,No,Fiber_optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed_check,86.3,3266,Yes
Newport_Beach,92661,Male,No,No,No,32,Yes,Yes,Fiber_optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank_transfer_(automatic),80.35,2596.15,Yes
Santa_Ana,92701,Female,No,No,No,35,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,100.25,3527.6,Yes
Santa_Ana,92707,Male,No,Yes,No,56,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,One_year,No,Credit_card_(automatic),100.3,5614.45,Yes
Anaheim,92805,Female,No,Yes,No,12,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed_check,19,233.55,Yes
Anaheim,92806,Female,No,No,No,1,Yes,No,Fiber_optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed_check,75.3,75.3,Yes
Anaheim,92807,Female,Yes,No,No,4,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic_check,89.2,346.2,Yes
Brea,92823,Female,Yes,No,No,1,Yes,Yes,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,85.7,85.7,Yes
Norco,92860,Female,No,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed_check,61.65,713.75,Yes
Yorba_Linda,92887,Female,Yes,Yes,No,65,Yes,Yes,Fiber_optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank_transfer_(automatic),105.25,6786.4,Yes
Ventura,93001,Male,No,Yes,No,9,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic_check,29.95,248.95,Yes
Ventura,93003,Female,No,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed_check,65,663.05,Yes
Port_Hueneme,93041,Female,No,No,No,7,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Bank_transfer_(automatic),20,137.6,Yes
Summerland,93067,Male,Yes,Yes,No,49,Yes,Yes,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit_card_(automatic),90.05,4547.25,Yes
Santa_Barbara,93101,Male,Yes,Yes,No,43,Yes,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank_transfer_(automatic),110.75,4687.9,Yes
Santa_Barbara,93110,Female,No,Yes,No,65,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,105.5,6985.65,Yes
Alpaugh,93201,Male,Yes,Yes,No,56,Yes,Yes,Fiber_optic,Yes,No,Yes,No,Yes,Yes,One_year,Yes,Bank_transfer_(automatic),104.55,5794.65,Yes
Armona,93202,Male,No,Yes,No,10,Yes,Yes,Fiber_optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic_check,85.25,855.3,Yes
Avenal,93204,Female,No,Yes,No,43,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic_check,56.15,2499.3,Yes
Bodfish,93205,Male,No,No,No,1,Yes,No,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,89.55,89.55,Yes
Camp_Nelson,93208,Male,Yes,Yes,No,20,Yes,Yes,Fiber_optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,94.55,1899.65,Yes
Coalinga,93210,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed_check,45.7,45.7,Yes
Delano,93215,Female,Yes,No,No,2,Yes,Yes,Fiber_optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic_check,89.5,161.5,Yes
